duplicate_group_id,row_ids,group_size,assigned_split,leakage_detected,image_paths_exist,notes
singleton_3438,[3438],1,Train,False,True,All paths resolved
singleton_2118,[2118],1,Test,False,True,All paths resolved
singleton_627,[627],1,Test,False,True,All paths resolved
singleton_2194,[2194],1,Train,False,True,All paths resolved
singleton_3263,[3263],1,Train,False,True,All paths resolved
dup_group_33,"[1070, 2664]",2,Test,False,True,All paths resolved
singleton_2274,[2274],1,Train,False,True,All paths resolved
singleton_1304,[1304],1,Train,False,True,All paths resolved
singleton_3197,[3197],1,Train,False,True,All paths resolved
singleton_593,[593],1,Train,False,True,All paths resolved
singleton_2022,[2022],1,Train,False,True,All paths resolved
singleton_3208,[3208],1,Train,False,True,All paths resolved
dup_group_222,"[2893, 3232]",2,Train,False,True,All paths resolved
singleton_823,[823],1,Train,False,True,All paths resolved
singleton_1966,[1966],1,Train,False,True,All paths resolved
singleton_3682,[3682],1,Train,False,True,All paths resolved
dup_group_279,"[3749, 3763]",2,Train,False,True,All paths resolved
singleton_698,[698],1,Train,False,True,All paths resolved
singleton_1174,[1174],1,Val,False,True,All paths resolved
dup_group_90,"[1756, 2656]",2,Test,False,True,All paths resolved
singleton_2784,[2784],1,Train,False,True,All paths resolved
singleton_2963,[2963],1,Train,False,True,All paths resolved
singleton_78,[78],1,Val,False,True,All paths resolved
dup_group_199,"[2432, 3347]",2,Val,False,True,All paths resolved
singleton_250,[250],1,Train,False,True,All paths resolved
singleton_767,[767],1,Train,False,True,All paths resolved
singleton_1812,[1812],1,Train,False,True,All paths resolved
singleton_1275,[1275],1,Train,False,True,All paths resolved
dup_group_259,"[3005, 3055]",2,Train,False,True,All paths resolved
singleton_322,[322],1,Train,False,True,All paths resolved
singleton_251,[251],1,Test,False,True,All paths resolved
singleton_2303,[2303],1,Train,False,True,All paths resolved
singleton_569,[569],1,Train,False,True,All paths resolved
singleton_1466,[1466],1,Test,False,True,All paths resolved
singleton_2822,[2822],1,Train,False,True,All paths resolved
singleton_973,[973],1,Test,False,True,All paths resolved
singleton_2602,[2602],1,Test,False,True,All paths resolved
dup_group_170,"[2403, 3318]",2,Val,False,True,All paths resolved
singleton_2200,[2200],1,Train,False,True,All paths resolved
singleton_1973,[1973],1,Train,False,True,All paths resolved
singleton_3657,[3657],1,Test,False,True,All paths resolved
singleton_2762,[2762],1,Train,False,True,All paths resolved
singleton_1563,[1563],1,Test,False,True,All paths resolved
singleton_2121,[2121],1,Train,False,True,All paths resolved
singleton_2974,[2974],1,Test,False,True,All paths resolved
singleton_97,[97],1,Train,False,True,All paths resolved
singleton_1042,[1042],1,Val,False,True,All paths resolved
singleton_1280,[1280],1,Train,False,True,All paths resolved
singleton_454,[454],1,Train,False,True,All paths resolved
singleton_1200,[1200],1,Test,False,True,All paths resolved
singleton_2086,[2086],1,Train,False,True,All paths resolved
dup_group_183,"[2416, 3331]",2,Train,False,True,All paths resolved
singleton_121,[121],1,Train,False,True,All paths resolved
singleton_2155,[2155],1,Train,False,True,All paths resolved
singleton_2484,[2484],1,Train,False,True,All paths resolved
singleton_1480,[1480],1,Val,False,True,All paths resolved
singleton_3028,[3028],1,Train,False,True,All paths resolved
singleton_1090,[1090],1,Train,False,True,All paths resolved
singleton_1291,[1291],1,Train,False,True,All paths resolved
singleton_2337,[2337],1,Train,False,True,All paths resolved
dup_group_164,"[2397, 3312]",2,Train,False,True,All paths resolved
singleton_2709,[2709],1,Test,False,True,All paths resolved
singleton_2956,[2956],1,Train,False,True,All paths resolved
singleton_1883,[1883],1,Test,False,True,All paths resolved
singleton_3125,[3125],1,Train,False,True,All paths resolved
singleton_3566,[3566],1,Test,False,True,All paths resolved
singleton_2206,[2206],1,Train,False,True,All paths resolved
singleton_701,[701],1,Test,False,True,All paths resolved
singleton_392,[392],1,Train,False,True,All paths resolved
singleton_863,[863],1,Train,False,True,All paths resolved
singleton_3536,[3536],1,Test,False,True,All paths resolved
singleton_2462,[2462],1,Train,False,True,All paths resolved
singleton_1188,[1188],1,Train,False,True,All paths resolved
singleton_3381,[3381],1,Train,False,True,All paths resolved
singleton_1243,[1243],1,Test,False,True,All paths resolved
dup_group_174,"[2407, 3322]",2,Val,False,True,All paths resolved
singleton_1884,[1884],1,Train,False,True,All paths resolved
singleton_1365,[1365],1,Val,False,True,All paths resolved
singleton_761,[761],1,Test,False,True,All paths resolved
singleton_3257,[3257],1,Test,False,True,All paths resolved
dup_group_155,"[2386, 2976]",2,Train,False,True,All paths resolved
singleton_866,[866],1,Train,False,True,All paths resolved
singleton_2167,[2167],1,Test,False,True,All paths resolved
singleton_1917,[1917],1,Train,False,True,All paths resolved
dup_group_165,"[2398, 3313]",2,Train,False,True,All paths resolved
singleton_1362,[1362],1,Train,False,True,All paths resolved
singleton_1092,[1092],1,Test,False,True,All paths resolved
singleton_2777,[2777],1,Train,False,True,All paths resolved
singleton_2338,[2338],1,Train,False,True,All paths resolved
singleton_603,[603],1,Test,False,True,All paths resolved
singleton_2481,[2481],1,Test,False,True,All paths resolved
singleton_2826,[2826],1,Train,False,True,All paths resolved
singleton_1123,[1123],1,Train,False,True,All paths resolved
dup_group_176,"[2409, 3324]",2,Test,False,True,All paths resolved
singleton_167,[167],1,Train,False,True,All paths resolved
singleton_615,[615],1,Train,False,True,All paths resolved
dup_group_212,"[2549, 3299]",2,Val,False,True,All paths resolved
singleton_1574,[1574],1,Train,False,True,All paths resolved
singleton_1659,[1659],1,Test,False,True,All paths resolved
singleton_1904,[1904],1,Test,False,True,All paths resolved
dup_group_85,"[1751, 2651]",2,Train,False,True,All paths resolved
singleton_106,[106],1,Val,False,True,All paths resolved
singleton_1663,[1663],1,Val,False,True,All paths resolved
singleton_370,[370],1,Train,False,True,All paths resolved
singleton_2129,[2129],1,Train,False,True,All paths resolved
singleton_2473,[2473],1,Train,False,True,All paths resolved
singleton_174,[174],1,Train,False,True,All paths resolved
singleton_405,[405],1,Train,False,True,All paths resolved
singleton_1163,[1163],1,Test,False,True,All paths resolved
singleton_3185,[3185],1,Test,False,True,All paths resolved
singleton_233,[233],1,Train,False,True,All paths resolved
singleton_3617,[3617],1,Train,False,True,All paths resolved
singleton_2202,[2202],1,Train,False,True,All paths resolved
singleton_2591,[2591],1,Train,False,True,All paths resolved
singleton_1246,[1246],1,Train,False,True,All paths resolved
singleton_1617,[1617],1,Test,False,True,All paths resolved
singleton_1879,[1879],1,Test,False,True,All paths resolved
singleton_762,[762],1,Train,False,True,All paths resolved
singleton_378,[378],1,Train,False,True,All paths resolved
singleton_1472,[1472],1,Train,False,True,All paths resolved
singleton_2250,[2250],1,Train,False,True,All paths resolved
singleton_3094,[3094],1,Train,False,True,All paths resolved
singleton_3389,[3389],1,Train,False,True,All paths resolved
singleton_491,[491],1,Train,False,True,All paths resolved
singleton_1323,[1323],1,Test,False,True,All paths resolved
singleton_1468,[1468],1,Train,False,True,All paths resolved
singleton_1479,[1479],1,Train,False,True,All paths resolved
singleton_3072,[3072],1,Train,False,True,All paths resolved
singleton_2014,[2014],1,Train,False,True,All paths resolved
singleton_109,[109],1,Test,False,True,All paths resolved
singleton_1634,[1634],1,Test,False,True,All paths resolved
singleton_1955,[1955],1,Train,False,True,All paths resolved
singleton_2237,[2237],1,Train,False,True,All paths resolved
singleton_3276,[3276],1,Train,False,True,All paths resolved
singleton_1643,[1643],1,Test,False,True,All paths resolved
singleton_3042,[3042],1,Train,False,True,All paths resolved
singleton_794,[794],1,Test,False,True,All paths resolved
singleton_602,[602],1,Train,False,True,All paths resolved
singleton_2873,[2873],1,Train,False,True,All paths resolved
singleton_2196,[2196],1,Train,False,True,All paths resolved
singleton_311,[311],1,Train,False,True,All paths resolved
singleton_2701,[2701],1,Train,False,True,All paths resolved
singleton_801,[801],1,Train,False,True,All paths resolved
dup_group_178,"[2411, 3326]",2,Train,False,True,All paths resolved
singleton_1782,[1782],1,Train,False,True,All paths resolved
singleton_169,[169],1,Train,False,True,All paths resolved
singleton_1348,[1348],1,Test,False,True,All paths resolved
singleton_1068,[1068],1,Train,False,True,All paths resolved
singleton_1067,[1067],1,Test,False,True,All paths resolved
singleton_1307,[1307],1,Train,False,True,All paths resolved
singleton_1184,[1184],1,Train,False,True,All paths resolved
singleton_1450,[1450],1,Train,False,True,All paths resolved
singleton_2532,[2532],1,Train,False,True,All paths resolved
singleton_2241,[2241],1,Train,False,True,All paths resolved
dup_group_18,"[508, 591]",2,Train,False,True,All paths resolved
singleton_831,[831],1,Train,False,True,All paths resolved
singleton_3704,[3704],1,Test,False,True,All paths resolved
singleton_23,[23],1,Train,False,True,All paths resolved
singleton_2025,[2025],1,Train,False,True,All paths resolved
singleton_1142,[1142],1,Test,False,True,All paths resolved
singleton_2469,[2469],1,Train,False,True,All paths resolved
singleton_3675,[3675],1,Train,False,True,All paths resolved
singleton_2294,[2294],1,Train,False,True,All paths resolved
singleton_1721,[1721],1,Train,False,True,All paths resolved
singleton_3546,[3546],1,Train,False,True,All paths resolved
singleton_1129,[1129],1,Val,False,True,All paths resolved
singleton_1197,[1197],1,Test,False,True,All paths resolved
singleton_2581,[2581],1,Train,False,True,All paths resolved
singleton_1284,[1284],1,Val,False,True,All paths resolved
singleton_289,[289],1,Train,False,True,All paths resolved
singleton_1583,[1583],1,Test,False,True,All paths resolved
singleton_2490,[2490],1,Test,False,True,All paths resolved
singleton_2083,[2083],1,Test,False,True,All paths resolved
singleton_947,[947],1,Train,False,True,All paths resolved
singleton_1678,[1678],1,Val,False,True,All paths resolved
singleton_3736,[3736],1,Train,False,True,All paths resolved
dup_group_213,"[2550, 3032, 3300]",3,Test,False,True,All paths resolved
singleton_900,[900],1,Train,False,True,All paths resolved
singleton_887,[887],1,Train,False,True,All paths resolved
singleton_2793,[2793],1,Train,False,True,All paths resolved
singleton_440,[440],1,Test,False,True,All paths resolved
singleton_326,[326],1,Val,False,True,All paths resolved
singleton_1519,[1519],1,Test,False,True,All paths resolved
singleton_2255,[2255],1,Train,False,True,All paths resolved
singleton_2283,[2283],1,Train,False,True,All paths resolved
singleton_2361,[2361],1,Train,False,True,All paths resolved
singleton_2718,[2718],1,Val,False,True,All paths resolved
singleton_82,[82],1,Train,False,True,All paths resolved
dup_group_14,"[451, 453]",2,Train,False,True,All paths resolved
singleton_759,[759],1,Test,False,True,All paths resolved
singleton_1116,[1116],1,Test,False,True,All paths resolved
singleton_2223,[2223],1,Train,False,True,All paths resolved
singleton_1497,[1497],1,Train,False,True,All paths resolved
singleton_2329,[2329],1,Train,False,True,All paths resolved
singleton_2669,[2669],1,Train,False,True,All paths resolved
singleton_1321,[1321],1,Val,False,True,All paths resolved
singleton_758,[758],1,Train,False,True,All paths resolved
singleton_1677,[1677],1,Train,False,True,All paths resolved
dup_group_73,"[1739, 2639]",2,Train,False,True,All paths resolved
singleton_1120,[1120],1,Train,False,True,All paths resolved
singleton_2496,[2496],1,Train,False,True,All paths resolved
singleton_3175,[3175],1,Test,False,True,All paths resolved
singleton_3586,[3586],1,Train,False,True,All paths resolved
singleton_683,[683],1,Val,False,True,All paths resolved
singleton_2132,[2132],1,Train,False,True,All paths resolved
singleton_2251,[2251],1,Train,False,True,All paths resolved
singleton_2911,[2911],1,Test,False,True,All paths resolved
singleton_2468,[2468],1,Train,False,True,All paths resolved
singleton_2756,[2756],1,Train,False,True,All paths resolved
singleton_2595,[2595],1,Train,False,True,All paths resolved
singleton_2229,[2229],1,Train,False,True,All paths resolved
singleton_3035,[3035],1,Train,False,True,All paths resolved
singleton_3098,[3098],1,Train,False,True,All paths resolved
singleton_3479,[3479],1,Test,False,True,All paths resolved
singleton_1064,[1064],1,Train,False,True,All paths resolved
singleton_3491,[3491],1,Train,False,True,All paths resolved
singleton_7,[7],1,Train,False,True,All paths resolved
singleton_1892,[1892],1,Test,False,True,All paths resolved
singleton_1089,[1089],1,Test,False,True,All paths resolved
singleton_777,[777],1,Train,False,True,All paths resolved
singleton_314,[314],1,Train,False,True,All paths resolved
singleton_2222,[2222],1,Train,False,True,All paths resolved
singleton_3105,[3105],1,Train,False,True,All paths resolved
singleton_3561,[3561],1,Train,False,True,All paths resolved
singleton_3681,[3681],1,Test,False,True,All paths resolved
dup_group_241,"[2941, 3267]",2,Train,False,True,All paths resolved
singleton_858,[858],1,Train,False,True,All paths resolved
singleton_1170,[1170],1,Train,False,True,All paths resolved
singleton_3186,[3186],1,Test,False,True,All paths resolved
singleton_790,[790],1,Val,False,True,All paths resolved
singleton_1194,[1194],1,Train,False,True,All paths resolved
singleton_2091,[2091],1,Train,False,True,All paths resolved
singleton_2554,[2554],1,Train,False,True,All paths resolved
singleton_2684,[2684],1,Test,False,True,All paths resolved
singleton_2841,[2841],1,Train,False,True,All paths resolved
singleton_1,[1],1,Val,False,True,All paths resolved
singleton_461,[461],1,Val,False,True,All paths resolved
singleton_2741,[2741],1,Test,False,True,All paths resolved
singleton_3556,[3556],1,Train,False,True,All paths resolved
singleton_768,[768],1,Val,False,True,All paths resolved
singleton_2366,[2366],1,Train,False,True,All paths resolved
singleton_2753,[2753],1,Train,False,True,All paths resolved
singleton_3426,[3426],1,Train,False,True,All paths resolved
singleton_889,[889],1,Train,False,True,All paths resolved
singleton_1299,[1299],1,Train,False,True,All paths resolved
singleton_3510,[3510],1,Train,False,True,All paths resolved
singleton_772,[772],1,Train,False,True,All paths resolved
singleton_1492,[1492],1,Train,False,True,All paths resolved
singleton_2806,[2806],1,Train,False,True,All paths resolved
singleton_1354,[1354],1,Train,False,True,All paths resolved
singleton_2252,[2252],1,Train,False,True,All paths resolved
singleton_1697,[1697],1,Train,False,True,All paths resolved
singleton_2034,[2034],1,Train,False,True,All paths resolved
singleton_2725,[2725],1,Train,False,True,All paths resolved
singleton_79,[79],1,Train,False,True,All paths resolved
singleton_2385,[2385],1,Train,False,True,All paths resolved
singleton_1965,[1965],1,Val,False,True,All paths resolved
singleton_3549,[3549],1,Train,False,True,All paths resolved
singleton_832,[832],1,Train,False,True,All paths resolved
singleton_1147,[1147],1,Train,False,True,All paths resolved
singleton_139,[139],1,Train,False,True,All paths resolved
singleton_2464,[2464],1,Val,False,True,All paths resolved
singleton_2099,[2099],1,Test,False,True,All paths resolved
singleton_1536,[1536],1,Train,False,True,All paths resolved
singleton_3715,[3715],1,Test,False,True,All paths resolved
dup_group_87,"[1753, 2653]",2,Val,False,True,All paths resolved
singleton_1252,[1252],1,Train,False,True,All paths resolved
singleton_2891,[2891],1,Train,False,True,All paths resolved
singleton_3578,[3578],1,Train,False,True,All paths resolved
singleton_2064,[2064],1,Train,False,True,All paths resolved
singleton_308,[308],1,Test,False,True,All paths resolved
singleton_2977,[2977],1,Train,False,True,All paths resolved
singleton_32,[32],1,Val,False,True,All paths resolved
singleton_1011,[1011],1,Test,False,True,All paths resolved
singleton_909,[909],1,Train,False,True,All paths resolved
singleton_509,[509],1,Test,False,True,All paths resolved
dup_group_39,"[1344, 1437]",2,Train,False,True,All paths resolved
singleton_2690,[2690],1,Val,False,True,All paths resolved
singleton_748,[748],1,Val,False,True,All paths resolved
singleton_15,[15],1,Val,False,True,All paths resolved
singleton_993,[993],1,Train,False,True,All paths resolved
singleton_1454,[1454],1,Train,False,True,All paths resolved
singleton_3368,[3368],1,Train,False,True,All paths resolved
singleton_3104,[3104],1,Val,False,True,All paths resolved
singleton_2192,[2192],1,Train,False,True,All paths resolved
singleton_2699,[2699],1,Train,False,True,All paths resolved
singleton_42,[42],1,Test,False,True,All paths resolved
singleton_397,[397],1,Train,False,True,All paths resolved
singleton_2847,[2847],1,Train,False,True,All paths resolved
singleton_3457,[3457],1,Train,False,True,All paths resolved
singleton_1028,[1028],1,Train,False,True,All paths resolved
dup_group_69,"[1734, 2634]",2,Train,False,True,All paths resolved
singleton_592,[592],1,Train,False,True,All paths resolved
singleton_1175,[1175],1,Test,False,True,All paths resolved
singleton_1585,[1585],1,Test,False,True,All paths resolved
singleton_1912,[1912],1,Train,False,True,All paths resolved
singleton_255,[255],1,Train,False,True,All paths resolved
singleton_1936,[1936],1,Train,False,True,All paths resolved
singleton_2063,[2063],1,Train,False,True,All paths resolved
singleton_2378,[2378],1,Train,False,True,All paths resolved
singleton_223,[223],1,Train,False,True,All paths resolved
singleton_1425,[1425],1,Train,False,True,All paths resolved
singleton_2814,[2814],1,Train,False,True,All paths resolved
singleton_1080,[1080],1,Train,False,True,All paths resolved
singleton_2309,[2309],1,Train,False,True,All paths resolved
singleton_1258,[1258],1,Train,False,True,All paths resolved
dup_group_204,"[2437, 3352]",2,Val,False,True,All paths resolved
singleton_1350,[1350],1,Train,False,True,All paths resolved
singleton_2367,[2367],1,Train,False,True,All paths resolved
singleton_3354,[3354],1,Train,False,True,All paths resolved
singleton_2823,[2823],1,Train,False,True,All paths resolved
singleton_312,[312],1,Train,False,True,All paths resolved
singleton_2714,[2714],1,Train,False,True,All paths resolved
singleton_2811,[2811],1,Train,False,True,All paths resolved
singleton_2323,[2323],1,Train,False,True,All paths resolved
dup_group_10,"[365, 366]",2,Test,False,True,All paths resolved
singleton_3218,[3218],1,Test,False,True,All paths resolved
singleton_1600,[1600],1,Train,False,True,All paths resolved
singleton_266,[266],1,Train,False,True,All paths resolved
singleton_793,[793],1,Val,False,True,All paths resolved
singleton_917,[917],1,Train,False,True,All paths resolved
singleton_954,[954],1,Test,False,True,All paths resolved
singleton_1317,[1317],1,Train,False,True,All paths resolved
singleton_1372,[1372],1,Train,False,True,All paths resolved
singleton_2754,[2754],1,Test,False,True,All paths resolved
singleton_3207,[3207],1,Train,False,True,All paths resolved
singleton_678,[678],1,Test,False,True,All paths resolved
dup_group_107,"[1777, 3121]",2,Val,False,True,All paths resolved
singleton_738,[738],1,Train,False,True,All paths resolved
dup_group_163,"[2396, 3311]",2,Train,False,True,All paths resolved
singleton_2376,[2376],1,Val,False,True,All paths resolved
singleton_891,[891],1,Train,False,True,All paths resolved
singleton_1141,[1141],1,Train,False,True,All paths resolved
singleton_1220,[1220],1,Val,False,True,All paths resolved
singleton_3705,[3705],1,Val,False,True,All paths resolved
singleton_1036,[1036],1,Test,False,True,All paths resolved
singleton_1867,[1867],1,Val,False,True,All paths resolved
singleton_1999,[1999],1,Train,False,True,All paths resolved
singleton_1893,[1893],1,Train,False,True,All paths resolved
singleton_1122,[1122],1,Train,False,True,All paths resolved
singleton_1558,[1558],1,Train,False,True,All paths resolved
singleton_2789,[2789],1,Test,False,True,All paths resolved
singleton_622,[622],1,Test,False,True,All paths resolved
singleton_687,[687],1,Train,False,True,All paths resolved
singleton_703,[703],1,Test,False,True,All paths resolved
singleton_547,[547],1,Train,False,True,All paths resolved
singleton_1225,[1225],1,Test,False,True,All paths resolved
singleton_2160,[2160],1,Val,False,True,All paths resolved
singleton_2679,[2679],1,Train,False,True,All paths resolved
singleton_3376,[3376],1,Train,False,True,All paths resolved
singleton_1388,[1388],1,Test,False,True,All paths resolved
singleton_2107,[2107],1,Train,False,True,All paths resolved
singleton_3651,[3651],1,Test,False,True,All paths resolved
singleton_3658,[3658],1,Test,False,True,All paths resolved
singleton_341,[341],1,Train,False,True,All paths resolved
singleton_21,[21],1,Val,False,True,All paths resolved
singleton_80,[80],1,Test,False,True,All paths resolved
dup_group_24,"[820, 904]",2,Train,False,True,All paths resolved
singleton_1046,[1046],1,Train,False,True,All paths resolved
singleton_910,[910],1,Train,False,True,All paths resolved
singleton_527,[527],1,Train,False,True,All paths resolved
dup_group_203,"[2436, 3351]",2,Val,False,True,All paths resolved
singleton_163,[163],1,Val,False,True,All paths resolved
singleton_2290,[2290],1,Test,False,True,All paths resolved
singleton_608,[608],1,Train,False,True,All paths resolved
singleton_776,[776],1,Test,False,True,All paths resolved
singleton_1125,[1125],1,Test,False,True,All paths resolved
dup_group_17,"[507, 513]",2,Test,False,True,All paths resolved
singleton_452,[452],1,Train,False,True,All paths resolved
singleton_556,[556],1,Test,False,True,All paths resolved
singleton_3691,[3691],1,Test,False,True,All paths resolved
singleton_138,[138],1,Train,False,True,All paths resolved
singleton_783,[783],1,Train,False,True,All paths resolved
dup_group_278,"[3747, 3761]",2,Train,False,True,All paths resolved
singleton_13,[13],1,Train,False,True,All paths resolved
singleton_714,[714],1,Train,False,True,All paths resolved
singleton_1980,[1980],1,Test,False,True,All paths resolved
singleton_1620,[1620],1,Test,False,True,All paths resolved
singleton_2219,[2219],1,Train,False,True,All paths resolved
singleton_2603,[2603],1,Train,False,True,All paths resolved
singleton_125,[125],1,Train,False,True,All paths resolved
singleton_2171,[2171],1,Train,False,True,All paths resolved
singleton_613,[613],1,Train,False,True,All paths resolved
dup_group_235,"[2915, 3251]",2,Train,False,True,All paths resolved
singleton_2506,[2506],1,Train,False,True,All paths resolved
singleton_1787,[1787],1,Train,False,True,All paths resolved
singleton_3535,[3535],1,Train,False,True,All paths resolved
singleton_3516,[3516],1,Train,False,True,All paths resolved
singleton_3181,[3181],1,Test,False,True,All paths resolved
dup_group_59,"[1723, 2623]",2,Train,False,True,All paths resolved
singleton_945,[945],1,Val,False,True,All paths resolved
dup_group_3,"[179, 1731, 2631]",3,Train,False,True,All paths resolved
singleton_880,[880],1,Train,False,True,All paths resolved
singleton_2,[2],1,Train,False,True,All paths resolved
singleton_220,[220],1,Train,False,True,All paths resolved
singleton_2198,[2198],1,Train,False,True,All paths resolved
singleton_2355,[2355],1,Train,False,True,All paths resolved
singleton_2384,[2384],1,Test,False,True,All paths resolved
singleton_2364,[2364],1,Test,False,True,All paths resolved
singleton_946,[946],1,Train,False,True,All paths resolved
singleton_2856,[2856],1,Train,False,True,All paths resolved
singleton_2813,[2813],1,Train,False,True,All paths resolved
singleton_3558,[3558],1,Train,False,True,All paths resolved
singleton_53,[53],1,Train,False,True,All paths resolved
singleton_1703,[1703],1,Train,False,True,All paths resolved
singleton_2258,[2258],1,Train,False,True,All paths resolved
dup_group_200,"[2433, 3348]",2,Train,False,True,All paths resolved
singleton_2269,[2269],1,Train,False,True,All paths resolved
