query_set,query_id,query_text,ground_truth_row,ground_truth_caption,source,subclause,category,bm25_rank,bge_rank,m7_rank,clip_rank,ocr_rank,colpali_rank,reranker_rank_if_available,bm25_mrr,bge_mrr,m7_mrr,clip_mrr,ocr_mrr,colpali_mrr,reason_for_selection,thesis_lesson,confidence_of_case,rank_missing_reason
Q1,q1_5,Iuh Disconnect procedure.,5,Iuh Disconnect procedure.,TS 25.467,5.5.2,F. Visual Failure,1,1,1,>100,2,>100,NA,1.0,1.0,1.0,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_6,HNB to HNB Handover via Iurh interface – UE involved.,6,HNB to HNB Handover via Iurh interface – UE involved.,TS 25.467,5.7.2.1,A. Easy Success,1,1,1,7,1,>100,NA,1.0,1.0,1.0,0.14285714285714285,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_7,Soft Handover Initiation HNB to HNB.,7,Soft Handover Initiation HNB to HNB.,TS 25.467,5.7.3,A. Easy Success,1,1,1,89,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_7,Soft Handover Initiation HNB to HNB.,7,Soft Handover Initiation HNB to HNB.,TS 25.467,5.7.3,F. Visual Failure,1,1,1,89,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_8,HNB to HNB CELL_FACH/CELL_PCH/URA_PCH mobility,8,HNB to HNB CELL_FACH/CELL_PCH/URA_PCH mobility,TS 25.467,5.7.5,A. Easy Success,1,1,1,59,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_8,HNB to HNB CELL_FACH/CELL_PCH/URA_PCH mobility,8,HNB to HNB CELL_FACH/CELL_PCH/URA_PCH mobility,TS 25.467,5.7.5,F. Visual Failure,1,1,1,59,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_9,HNB Configuration Transfer.,9,HNB Configuration Transfer.,TS 25.467,5.8,A. Easy Success,1,1,1,1,1,>100,NA,1.0,1.0,1.0,1.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_10,Enhanced Relocation from Open Access and Hybrid HNBs to RNC.,10,Enhanced Relocation from Open Access and Hybrid HNBs to RNC.,TS 25.467,5.11.2.1,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_10,Enhanced Relocation from Open Access and Hybrid HNBs to RNC.,10,Enhanced Relocation from Open Access and Hybrid HNBs to RNC.,TS 25.467,5.11.2.1,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_11,Enhanced Relocation from RNC to Open Access HNB for CSG UEs.,11,Enhanced Relocation from RNC to Open Access HNB for CSG UEs.,TS 25.467,5.11.2.2,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_11,Enhanced Relocation from RNC to Open Access HNB for CSG UEs.,11,Enhanced Relocation from RNC to Open Access HNB for CSG UEs.,TS 25.467,5.11.2.2,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_12,Enhanced Relocation from RNC to Hybrid HNB for CSG UEs.,12,Enhanced Relocation from RNC to Hybrid HNB for CSG UEs.,TS 25.467,5.11.2.3,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_12,Enhanced Relocation from RNC to Hybrid HNB for CSG UEs.,12,Enhanced Relocation from RNC to Hybrid HNB for CSG UEs.,TS 25.467,5.11.2.3,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_13,Soft Handover HNB to RNC via HNB-GW.,13,Soft Handover HNB to RNC via HNB-GW.,TS 25.467,5.11.3.1,A. Easy Success,1,1,1,15,2,>100,NA,1.0,1.0,1.0,0.0,0.5,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_16,RNC to HNB CELL_FACH/CELL_PCH and URA_PCH mobility,16,RNC to HNB CELL_FACH/CELL_PCH and URA_PCH mobility,TS 25.467,5.11.5,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_16,RNC to HNB CELL_FACH/CELL_PCH and URA_PCH mobility,16,RNC to HNB CELL_FACH/CELL_PCH and URA_PCH mobility,TS 25.467,5.11.5,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_17,Iuh–Interface Protocol Stack.,17,Iuh–Interface Protocol Stack.,TS 25.467,7.2,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_17,Iuh–Interface Protocol Stack.,17,Iuh–Interface Protocol Stack.,TS 25.467,7.2,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_18,Establishment of signalling connection over Iupc and Iuh connections between HNB,18,Establishment of signalling connection over Iupc and Iuh connections between HNB,TS 25.467,7.2.2.2,A. Easy Success,1,1,1,28,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_19,Establishment of signalling connection over Iuh and Iupc connections between HNB,19,Establishment of signalling connection over Iuh and Iupc connections between HNB,TS 25.467,7.2.2.3,F. Visual Failure,2,2,2,100,2,>100,NA,0.5,0.5,0.5,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_23,Release of established signalling connection over Iupc and Iuh connections – HNB,23,Release of established signalling connection over Iupc and Iuh connections – HNB,TS 25.467,7.2.2.5,F. Visual Failure,2,1,2,79,2,>100,NA,0.5,1.0,0.5,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_24,Connectionless data transfer over Iupc and Iuh connections – SAS initiated.,24,Connectionless data transfer over Iupc and Iuh connections – SAS initiated.,TS 25.467,7.2.2.6.2,A. Easy Success,1,1,1,12,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_25,Iurh–Interface Protocol Stack.,25,Iurh–Interface Protocol Stack.,TS 25.467,7.3,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_25,Iurh–Interface Protocol Stack.,25,Iurh–Interface Protocol Stack.,TS 25.467,7.3,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_26,Signalling Connection Establishment – Direct Iurh-connectivity.,26,Signalling Connection Establishment – Direct Iurh-connectivity.,TS 25.467,7.3.2.2.1,A. Easy Success,1,1,1,61,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_26,Signalling Connection Establishment – Direct Iurh-connectivity.,26,Signalling Connection Establishment – Direct Iurh-connectivity.,TS 25.467,7.3.2.2.1,F. Visual Failure,1,1,1,61,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_27,Establishment of signalling connection over Iurh and Iur connections between,27,Establishment of signalling connection over Iurh and Iur connections between,TS 25.467,7.3.3.2.1,F. Visual Failure,1,2,1,>100,1,>100,NA,1.0,0.5,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_28,Establishment of signalling connection over Iurh and Iur connections between,28,Establishment of signalling connection over Iurh and Iur connections between,TS 25.467,7.3.3.2.2,F. Visual Failure,2,1,2,>100,4,>100,NA,0.5,1.0,0.5,0.0,0.25,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_29,Establishment of signalling connection over Iurh and Iur connections between,29,Establishment of signalling connection over Iurh and Iur connections between,TS 25.467,7.3.3.2.3,F. Visual Failure,3,3,3,>100,5,>100,NA,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_30,Transport of RNSAP messages via signalling connection over Iurh and Iur,30,Transport of RNSAP messages via signalling connection over Iurh and Iur,TS 25.467,7.3.3.3.1,A. Easy Success,1,1,1,3,1,>100,NA,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_34,Connectionless data transfer over Iurh and Iur connections – HNB initiated.,34,Connectionless data transfer over Iurh and Iur connections – HNB initiated.,TS 25.467,7.3.3.5.1,A. Easy Success,1,1,1,6,2,>100,NA,1.0,1.0,1.0,0.16666666666666666,0.5,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_36,UL cell edge scenario: noise rise contribution of non-associated UEs,36,UL cell edge scenario: noise rise contribution of non-associated UEs,TR 25.967,7.3.3.1,A. Easy Success,1,1,1,52,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_36,UL cell edge scenario: noise rise contribution of non-associated UEs,36,UL cell edge scenario: noise rise contribution of non-associated UEs,TR 25.967,7.3.3.1,F. Visual Failure,1,1,1,52,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_37,UL cell edge scenario: Ec/No at serving NB,37,UL cell edge scenario: Ec/No at serving NB,TR 25.967,7.3.3.1,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_37,UL cell edge scenario: Ec/No at serving NB,37,UL cell edge scenario: Ec/No at serving NB,TR 25.967,7.3.3.1,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_38,UL cell site scenario: noise rise contribution of non-associated UEs,38,UL cell site scenario: noise rise contribution of non-associated UEs,TR 25.967,7.3.3.1,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_38,UL cell site scenario: noise rise contribution of non-associated UEs,38,UL cell site scenario: noise rise contribution of non-associated UEs,TR 25.967,7.3.3.1,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_39,UL cell site scenario: Ec/No at serving NB,39,UL cell site scenario: Ec/No at serving NB,TR 25.967,7.3.3.1,A. Easy Success,1,1,1,95,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_39,UL cell site scenario: Ec/No at serving NB,39,UL cell site scenario: Ec/No at serving NB,TR 25.967,7.3.3.1,F. Visual Failure,1,1,1,95,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_40,Interaction between RNC and O&M due to ANR,40,Interaction between RNC and O&M due to ANR,TS 25.484,4.1,A. Easy Success,1,1,1,>100,1,45,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_41,ANR Logging configuration with Logging measurement configuration message,41,ANR Logging configuration with Logging measurement configuration message,TS 25.484,5.3,A. Easy Success,1,1,1,>100,1,50,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_42,Message service parameter procedures,42,Message service parameter procedures,TS 27.005,3.3.7,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_42,Message service parameter procedures,42,Message service parameter procedures,TS 27.005,3.3.7,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_43,Message receiving procedures,43,Message receiving procedures,TS 27.005,3.4.5,A. Easy Success,1,1,1,>100,28,>100,NA,1.0,1.0,1.0,0.0,0.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_43,Message receiving procedures,43,Message receiving procedures,TS 27.005,3.4.5,F. Visual Failure,1,1,1,>100,28,>100,NA,1.0,1.0,1.0,0.0,0.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_44,Message service send and write procedures,44,Message service send and write procedures,TS 27.005,3.5.7,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_44,Message service send and write procedures,44,Message service send and write procedures,TS 27.005,3.5.7,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_45,"Overview of the interfaces between TE, TA/MT and UICC for USAT",45,"Overview of the interfaces between TE, TA/MT and UICC for USAT",TS 27.007,12.1,A. Easy Success,1,1,1,4,1,>100,NA,1.0,1.0,1.0,0.25,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_46,Communication clusters between containers,46,Communication clusters between containers,TR 22.866,5.2.3,A. Easy Success,1,1,1,4,1,>100,NA,1.0,1.0,1.0,0.25,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_47,Communications between containers in a ship,47,Communications between containers in a ship,TR 22.866,5.2.3,A. Easy Success,1,1,1,3,1,63,NA,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_50,Different sensors managed in a wagon,50,Different sensors managed in a wagon,TR 22.866,5.3.2,F. Visual Failure,2,1,2,95,2,>100,NA,0.5,1.0,0.5,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_51,Communication between wagons and locomotive,51,Communication between wagons and locomotive,TR 22.866,5.3.3,A. Easy Success,1,1,1,1,1,>100,NA,1.0,1.0,1.0,1.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_52,Illustration of service flow for elderly healthcare use case,52,Illustration of service flow for elderly healthcare use case,TR 22.866,5.5.3,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_52,Illustration of service flow for elderly healthcare use case,52,Illustration of service flow for elderly healthcare use case,TR 22.866,5.5.3,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_53,Illustration of service flow for connected ambulance use case,53,Illustration of service flow for connected ambulance use case,TR 22.866,5.6.3,F. Visual Failure,1,2,1,>100,1,>100,NA,1.0,0.5,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_54,Illustration of service flow for connected ambulance use case,54,Illustration of service flow for connected ambulance use case,TR 22.866,5.7.3,F. Visual Failure,2,1,2,>100,2,>100,NA,0.5,1.0,0.5,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_56,Indoor Industrial Scenario,56,Indoor Industrial Scenario,TR 22.866,6.2.2,F. Visual Failure,2,1,2,>100,1,>100,NA,0.5,1.0,0.5,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_57,Smart Metering,57,Smart Metering,TR 22.866,6.3.2,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_57,Smart Metering,57,Smart Metering,TR 22.866,6.3.2,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_58,Communication between containers using multi Hop,58,Communication between containers using multi Hop,TR 22.866,6.4.2,F. Visual Failure,1,2,1,>100,1,>100,NA,1.0,0.5,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_59,Communication between containers using multi Hop,59,Communication between containers using multi Hop,TR 22.866,6.4.2,F. Visual Failure,2,1,2,>100,2,>100,NA,0.5,1.0,0.5,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_60,survival time vs. message loss,60,survival time vs. message loss,TR 22.832,4.3,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_60,survival time vs. message loss,60,survival time vs. message loss,TR 22.832,4.3,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_61,"Working clock domain interactions ""Merge"" and ""Separate""",61,"Working clock domain interactions ""Merge"" and ""Separate""",TR 22.832,5.4.1,A. Easy Success,1,1,1,2,1,>100,NA,1.0,1.0,1.0,0.5,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_62,Case2,62,Case2,TR 22.908,4.1,A. Easy Success,1,1,1,>100,2,>100,NA,1.0,1.0,1.0,0.0,0.5,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_62,Case2,62,Case2,TR 22.908,4.1,F. Visual Failure,1,1,1,>100,2,>100,NA,1.0,1.0,1.0,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_63,Case2,63,Case2,TR 22.908,4.1,F. Visual Failure,2,2,2,>100,3,>100,NA,0.5,0.5,0.5,0.0,0.3333333333333333,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_64,Case2,64,Case2,TR 22.908,4.1,F. Visual Failure,3,3,3,>100,1,>100,NA,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_65,Access control interval application,65,Access control interval application,TR 22.908,4.3,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_65,Access control interval application,65,Access control interval application,TR 22.908,4.3,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_66,Use-case of the communication between the unauthorised users,66, Use-case of the communication between the unauthorised users,TR 22.908,4.3,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_66,Use-case of the communication between the unauthorised users,66, Use-case of the communication between the unauthorised users,TR 22.908,4.3,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_67,Use-case of the communication between the unauthorised users,67, Use-case of the communication between the unauthorised users,TR 22.908,4.3,F. Visual Failure,2,2,2,>100,2,>100,NA,0.5,0.5,0.5,0.0,0.5,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_68,Waste of resources for the paging messages.,68,Waste of resources for the paging messages.,TR 22.908,5.1,A. Easy Success,1,1,1,>100,1,7,NA,1.0,1.0,1.0,0.0,1.0,0.14285714285714285,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_69,PLMN-B aware of hPLMN failure,69,PLMN-B aware of hPLMN failure,TR 22.831,5.3.3,A. Easy Success,1,1,1,1,1,>100,NA,1.0,1.0,1.0,1.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_71,Use case on ″Backup″ PLMNs for the international roamer,71,Use case on ″Backup″ PLMNs for the international roamer,TR 22.831,5.10.3,A. Easy Success,1,1,1,81,1,37,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_72,National Health Insurance Model,72,National Health Insurance Model,TR 22.826,4,A. Easy Success,1,1,1,3,1,32,NA,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_73,Overview diagram of an Operating Room (O.R.),73,Overview diagram of an Operating Room (O.R.),TR 22.826,5.2.1.1,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_73,Overview diagram of an Operating Room (O.R.),73,Overview diagram of an Operating Room (O.R.),TR 22.826,5.2.1.1,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_74,Example of operating work zones,74,Example of operating work zones,TR 22.826,5.2.2.1,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_74,Example of operating work zones,74,Example of operating work zones,TR 22.826,5.2.2.1,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_75,Illustration of a CABG Procedure,75,Illustration of a CABG Procedure,TR 22.826,5.2.3.1,A. Easy Success,1,1,1,5,1,29,NA,1.0,1.0,1.0,0.2,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
