query_set,query_id,ground_truth,best_bm25_system,best_bm25_rank,best_bm25_mrr_contribution,best_bge_system,best_bge_rank,best_bge_mrr_contribution,best_m7_system,best_m7_rank,best_m7_mrr_contribution,m7_minus_bm25_delta,m7_minus_bge_delta,m7_vs_bm25_outcome,m7_vs_bge_outcome
Q1,q1_18,18,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_19,19,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_20,20,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_21,21,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_22,22,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_23,23,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_24,24,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_25,25,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_26,26,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_27,27,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_28,28,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_29,29,B1,-1,0.3333333333333333,D1,-1,0.3333333333333333,score_fusion_bm25_075_bge_025,-1,0.3333333333333333,0.0,0.0,tie,tie
Q1,q1_30,30,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_31,31,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_32,32,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_33,33,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_34,34,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_35,35,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_36,36,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_37,37,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_38,38,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_39,39,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_40,40,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_41,41,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_42,42,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_43,43,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_44,44,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_45,45,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_46,46,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_47,47,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_48,48,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_49,49,B1,-1,1.0,D1,-1,0.3333333333333333,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.6666666666666667,tie,win
Q1,q1_50,50,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_51,51,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_52,52,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_53,53,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_54,54,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_55,55,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_56,56,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_57,57,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_58,58,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_59,59,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_60,60,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_61,61,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_62,62,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_63,63,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_64,64,B1,-1,0.3333333333333333,D1,-1,0.3333333333333333,score_fusion_bm25_075_bge_025,-1,0.3333333333333333,0.0,0.0,tie,tie
Q1,q1_65,65,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_66,66,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_67,67,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_68,68,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_69,69,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_70,70,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_71,71,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_72,72,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_73,73,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_74,74,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_75,75,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_76,76,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_77,77,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_78,78,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_79,79,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_80,80,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_81,81,B1,-1,0.3333333333333333,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.3333333333333333,0.0,-0.16666666666666669,tie,loss
Q1,q1_82,82,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_83,83,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_84,84,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_85,85,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_86,86,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_87,87,B1,-1,0.5,D1,-1,0.3333333333333333,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.16666666666666669,tie,win
Q1,q1_88,88,B1,-1,0.3333333333333333,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.3333333333333333,0.0,-0.6666666666666667,tie,loss
Q1,q1_89,89,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_90,90,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_91,91,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_92,92,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_93,93,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_94,94,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_95,95,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_96,96,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_97,97,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_98,98,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_99,99,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_100,100,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_101,101,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_102,102,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_103,103,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_104,104,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_105,105,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_106,106,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_107,107,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_108,108,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_109,109,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_110,110,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_111,111,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_112,112,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_113,113,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_114,114,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_115,115,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_116,116,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_117,117,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_118,118,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_119,119,B1,-1,0.3333333333333333,D1,-1,0.3333333333333333,score_fusion_bm25_075_bge_025,-1,0.3333333333333333,0.0,0.0,tie,tie
Q1,q1_120,120,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_121,121,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_122,122,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_123,123,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_124,124,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_125,125,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_126,126,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_127,127,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_128,128,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_129,129,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_130,130,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_131,131,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_132,132,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_133,133,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_134,134,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_135,135,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_136,136,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_137,137,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_138,138,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_139,139,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_140,140,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_141,141,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_142,142,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_143,143,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_144,144,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_145,145,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_146,146,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_147,147,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_148,148,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_149,149,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_150,150,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_151,151,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_152,152,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_153,153,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_154,154,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_155,155,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_156,156,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_157,157,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_158,158,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_159,159,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_160,160,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_161,161,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_162,162,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_163,163,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_164,164,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_165,165,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_166,166,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_167,167,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_168,168,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_169,169,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_170,170,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_171,171,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_172,172,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_173,173,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_174,174,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_175,175,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_176,176,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_177,177,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_178,178,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_179,179,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
Q1,q1_180,180,B1,-1,0.5,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,0.5,0.0,-0.5,tie,loss
Q1,q1_181,181,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_182,182,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_183,183,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_184,184,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_185,185,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_186,186,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_187,187,B1,-1,0.5,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,0.5,0.0,0.0,tie,tie
Q1,q1_188,188,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_189,189,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_190,190,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_191,191,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_192,192,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_193,193,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_194,194,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_195,195,B1,-1,1.0,D1,-1,1.0,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.0,tie,tie
Q1,q1_196,196,B1,-1,1.0,D1,-1,0.5,score_fusion_bm25_075_bge_025,-1,1.0,0.0,0.5,tie,win
