query_set,query_idx,ground_truth_row,rank,top_1_pred
Q1,139,139,-1,3006
Q1,140,140,-1,1339
Q1,141,141,-1,1318
Q1,142,142,-1,1254
Q1,143,143,-1,512
Q1,144,144,91,146
Q1,145,145,-1,146
Q1,146,146,2,2077
Q1,147,147,-1,259
Q1,148,148,-1,258
Q1,149,149,-1,142
Q1,150,150,-1,146
Q1,151,151,-1,146
Q1,152,152,-1,342
Q1,153,153,-1,259
Q1,154,154,-1,495
Q1,155,155,-1,3078
Q1,156,156,-1,67
Q1,157,157,98,495
Q1,158,158,1,158
Q1,159,159,16,218
Q1,160,160,-1,2999
Q1,161,161,61,414
Q1,162,162,79,3050
Q1,163,163,-1,3056
Q1,164,164,-1,3006
Q1,165,165,3,142
Q1,166,166,-1,425
Q1,167,167,-1,444
Q1,168,168,67,2899
Q1,169,169,-1,425
Q1,170,170,-1,425
Q1,171,171,-1,444
Q1,172,172,-1,444
Q1,173,173,-1,444
Q1,174,174,84,421
Q1,175,175,1,175
Q1,176,176,-1,277
Q1,177,177,21,2412
Q1,178,178,-1,3172
Q1,179,179,57,2641
Q1,180,180,37,2641
Q1,181,181,-1,3235
Q1,182,182,34,3063
Q1,183,183,13,1067
Q1,184,184,-1,3233
Q1,185,185,-1,3082
Q1,186,186,-1,997
Q1,187,187,-1,997
Q1,188,188,-1,1925
Q1,189,189,-1,2984
Q1,190,190,-1,1176
Q1,191,191,-1,863
Q1,192,192,-1,2677
Q1,193,193,-1,158
Q1,194,194,-1,3548
Q1,195,195,-1,1125
Q1,196,196,-1,218
Q1,197,197,-1,218
Q1,198,198,12,2682
Q1,199,199,-1,1893
Q1,200,200,-1,159
Q1,201,201,-1,159
Q1,202,202,-1,1254
Q1,203,203,-1,687
Q1,204,204,-1,677
Q1,205,205,-1,2740
Q1,206,206,-1,2779
Q1,207,207,-1,138
Q1,208,208,53,3078
Q1,209,209,-1,1409
Q1,210,210,-1,481
Q1,211,211,91,259
Q1,212,212,-1,218
Q1,213,213,-1,1682
Q1,214,214,-1,3029
Q1,215,215,-1,1625
Q1,216,216,-1,1625
Q1,217,217,-1,1625
Q1,218,218,1,218
Q1,219,219,1,219
Q1,220,220,-1,1420
Q1,221,221,-1,1178
Q1,222,222,-1,1420
Q1,223,223,40,2376
Q1,224,224,-1,2239
Q1,225,225,-1,776
Q1,226,226,-1,797
Q1,227,227,-1,1420
Q1,228,228,17,1420
Q1,229,229,53,1421
Q1,230,230,-1,1890
Q1,231,231,-1,1421
Q1,232,232,-1,1420
Q1,233,233,-1,793
Q1,234,234,22,1421
Q1,235,235,8,1420
Q1,236,236,96,2706
Q1,237,237,43,2190
Q1,238,238,-1,1339
Q1,239,239,75,1123
Q1,240,240,-1,1184
Q1,241,241,-1,2032
Q1,242,242,65,1420
Q1,243,243,-1,1848
Q1,244,244,-1,864
Q1,245,245,63,3087
Q1,246,246,-1,951
Q1,247,247,-1,3752
Q1,248,248,66,3087
Q1,249,249,-1,3451
Q1,250,250,-1,1421
Q1,251,251,-1,259
Q1,252,252,-1,20
Q1,253,253,-1,2763
Q1,254,254,-1,1420
Q1,255,255,-1,3657
Q1,256,256,-1,3010
Q1,257,257,2,731
Q1,258,258,-1,3355
Q1,259,259,5,492
Q1,260,260,-1,2677
Q1,261,261,-1,2679
Q1,262,262,2,263
Q1,263,263,1,263
Q1,264,264,-1,263
Q1,265,265,-1,2679
Q1,266,266,-1,2894
Q1,267,267,1,267
Q1,268,268,16,3095
Q1,269,269,24,218
Q1,270,270,-1,3082
Q1,271,271,-1,3082
Q1,272,272,-1,3082
Q1,273,273,-1,3082
Q1,274,274,-1,3098
Q1,275,275,-1,3082
Q1,276,276,1,276
Q1,277,277,1,277
Q1,278,278,-1,1144
Q1,279,279,-1,3224
Q1,280,280,-1,2875
Q1,281,281,-1,3015
Q1,282,282,-1,3077
Q1,283,283,-1,752
Q1,284,284,6,292
Q1,285,285,8,292
Q1,286,286,10,292
Q1,287,287,-1,259
Q1,288,288,-1,284
Q1,289,289,-1,3677
Q1,290,290,4,291
Q1,291,291,1,291
Q1,292,292,-1,3677
Q1,293,293,-1,2763
Q1,294,294,-1,259
Q1,295,295,-1,259
Q1,296,296,-1,259
Q1,297,297,-1,1918
Q1,298,298,-1,1918
Q1,299,299,-1,1918
Q1,300,300,-1,1918
Q1,301,301,-1,259
Q1,302,302,-1,713
Q1,303,303,69,3096
Q1,304,304,-1,3096
Q1,305,305,-1,713
Q1,306,306,-1,439
Q1,307,307,-1,1378
Q1,308,308,-1,1378
Q1,309,309,-1,1378
Q1,310,310,-1,444
Q1,311,311,-1,2060
Q1,312,312,-1,1486
Q1,313,313,-1,3056
Q1,314,314,-1,2899
Q1,315,315,-1,1918
Q1,316,316,-1,1918
Q1,317,317,-1,2531
Q1,318,318,-1,150
Q1,319,319,-1,1925
Q1,320,320,-1,2507
Q1,321,321,-1,477
Q1,322,322,-1,463
Q1,323,323,-1,218
Q1,324,324,-1,1629
Q1,325,325,-1,218
Q1,326,326,-1,218
Q1,327,327,16,1629
Q1,328,328,-1,218
Q1,329,329,-1,219
Q1,330,330,-1,218
Q1,331,331,20,218
Q1,332,332,2,219
Q1,333,333,-1,2155
Q1,334,334,6,1629
Q1,335,335,38,2155
Q1,336,336,11,1629
Q1,337,337,-1,1629
Q1,338,338,-1,1629
Q1,339,339,-1,920
Q1,340,340,-1,218
Q1,341,341,1,341
Q1,342,342,-1,341
Q1,343,343,-1,218
Q1,344,344,34,920
Q1,345,345,6,920
Q1,346,346,-1,2410
Q1,347,347,-1,2410
Q1,348,348,-1,2410
Q1,349,349,-1,2410
Q1,350,350,-1,86
Q1,351,351,-1,352
Q1,352,352,14,3101
Q1,353,353,23,1704
Q1,354,354,-1,2168
Q1,355,355,3,2058
Q1,356,356,-1,1420
Q1,357,357,43,1014
Q1,358,358,72,1014
Q1,359,359,-1,2248
Q1,360,360,-1,3233
Q1,361,361,-1,3417
Q1,362,362,-1,1282
Q1,363,363,49,209
Q1,364,364,-1,1342
Q1,365,365,-1,1342
Q1,366,366,62,1342
Q1,367,367,-1,2412
Q1,368,368,-1,3758
Q1,369,369,-1,421
Q1,370,370,-1,481
Q1,371,371,-1,3596
Q1,372,372,-1,1132
Q1,373,373,-1,3596
Q1,374,374,-1,3596
Q1,375,375,82,3598
Q1,376,376,-1,3535
Q1,377,377,-1,218
Q1,378,378,-1,218
Q1,379,379,-1,3596
Q1,380,380,-1,2048
Q1,381,381,-1,1307
Q1,382,382,-1,2048
Q1,383,383,-1,3355
Q1,384,384,-1,1407
Q1,385,385,-1,1524
Q1,386,386,-1,33
Q1,387,387,-1,495
Q1,388,388,-1,2532
Q1,389,389,-1,2264
Q1,390,390,-1,2264
Q1,391,391,3,1058
Q1,392,392,-1,3060
Q1,393,393,-1,3595
Q1,394,394,-1,3595
Q1,395,395,-1,2510
Q1,396,396,-1,2412
Q1,397,397,1,397
Q1,398,398,3,397
Q1,399,399,30,1841
Q1,400,400,14,1841
Q1,401,401,-1,142
Q1,402,402,-1,3078
Q1,403,403,-1,3078
Q1,404,404,-1,158
Q1,405,405,-1,3078
Q1,406,406,-1,3078
Q1,407,407,-1,3078
Q1,408,408,-1,259
Q1,409,409,-1,751
Q1,410,410,-1,751
Q1,411,411,-1,1681
Q1,412,412,-1,2807
Q1,413,413,-1,3382
Q1,414,414,-1,751
Q1,415,415,-1,751
Q1,416,416,-1,751
Q1,417,417,-1,3548
Q1,418,418,-1,2807
Q1,419,419,-1,2081
Q1,420,420,-1,3056
Q1,421,421,34,198
Q1,422,422,-1,1123
Q1,423,423,-1,713
Q1,424,424,-1,800
Q1,425,425,44,153
Q1,426,426,-1,421
Q1,427,427,-1,150
Q1,428,428,-1,2190
Q1,429,429,-1,2190
Q1,430,430,-1,2013
Q1,431,431,-1,150
Q1,432,432,-1,23
Q1,433,433,-1,800
Q1,434,434,-1,198
Q1,435,435,-1,198
Q1,436,436,-1,1223
Q1,437,437,27,1848
Q1,438,438,-1,3224
Q1,439,439,5,3224
Q1,440,440,-1,342
Q1,441,441,-1,342
Q1,442,442,-1,132
Q1,443,443,-1,23
Q1,444,444,-1,2516
Q1,445,445,-1,2190
Q1,446,446,-1,132
Q1,447,447,-1,132
Q1,448,448,-1,1031
Q1,449,449,-1,1031
Q1,450,450,-1,466
Q1,451,451,-1,158
Q1,452,452,-1,466
Q1,453,453,-1,158
Q1,454,454,-1,132
Q1,455,455,-1,153
Q1,456,456,-1,2190
Q1,457,457,-1,132
Q1,458,458,7,1840
Q1,459,459,-1,2700
Q1,460,460,75,941
Q1,461,461,-1,158
Q1,462,462,-1,158
Q1,463,463,23,1280
Q1,464,464,-1,1280
Q1,465,465,-1,158
Q1,466,466,11,158
Q1,467,467,-1,158
Q1,468,468,-1,158
Q1,469,469,-1,158
Q1,470,470,-1,198
Q1,471,471,-1,2677
Q1,472,472,-1,3683
Q1,473,473,-1,3683
Q1,474,474,-1,3168
Q1,475,475,-1,3360
Q1,476,476,-1,482
Q1,477,477,1,477
Q1,478,478,-1,2048
Q1,479,479,-1,3081
Q1,480,480,90,175
Q1,481,481,6,444
Q1,482,482,33,425
Q1,483,483,14,277
Q1,484,484,-1,3595
Q1,485,485,10,2693
Q1,486,486,-1,148
Q1,487,487,44,218
Q1,488,488,-1,218
Q1,489,489,27,3548
Q1,490,490,20,3548
Q1,491,491,-1,218
Q1,492,492,-1,1893
Q1,493,493,68,284
Q1,494,494,-1,175
Q1,495,495,-1,175
Q1,496,496,-1,1664
Q1,497,497,-1,2199
Q1,498,498,-1,1191
Q1,499,499,-1,888
Q1,500,500,-1,1436
Q1,501,501,33,1629
Q1,502,502,1,502
Q1,503,503,-1,2207
Q1,504,504,6,1436
Q1,505,505,70,1436
Q1,506,506,1,506
Q1,507,507,5,514
Q1,508,508,-1,1173
Q1,509,509,79,1469
Q1,510,510,-1,1403
Q1,511,511,-1,1407
Q1,512,512,17,2234
Q1,513,513,5,514
Q1,514,514,1,514
Q1,515,515,-1,1384
Q1,516,516,-1,2676
Q1,517,517,-1,2239
Q1,518,518,-1,2670
Q1,519,519,7,848
Q1,520,520,2,848
Q1,521,521,-1,708
Q1,522,522,1,522
Q1,523,523,1,523
Q1,524,524,-1,1664
Q1,525,525,-1,1664
Q1,526,526,-1,1403
Q1,527,527,-1,1403
Q1,528,528,-1,1403
Q1,529,529,-1,1403
Q1,530,530,-1,1403
Q1,531,531,-1,1427
Q1,532,532,-1,536
Q1,533,533,-1,1403
Q1,534,534,-1,1403
Q1,535,535,92,1403
Q1,536,536,-1,1403
Q1,537,537,6,1403
Q1,538,538,-1,1469
Q1,539,539,-1,1469
Q1,540,540,-1,1429
Q1,541,541,-1,1403
Q1,542,542,-1,3642
Q1,543,543,-1,3642
Q1,544,544,-1,1403
Q1,545,545,-1,827
Q1,546,546,-1,827
Q1,547,547,-1,1403
Q1,548,548,-1,1403
Q1,549,549,-1,1403
Q1,550,550,-1,3642
Q1,551,551,-1,3682
Q1,552,552,36,3636
Q1,553,553,-1,302
Q1,554,554,-1,302
Q1,555,555,5,1251
Q1,556,556,-1,2333
Q1,557,557,-1,3677
Q1,558,558,-1,3677
Q1,559,559,-1,563
Q1,560,560,-1,3677
Q1,561,561,-1,563
Q1,562,562,-1,1261
Q1,563,563,-1,35
Q1,564,564,-1,563
Q1,565,565,-1,1261
Q1,566,566,5,1370
Q1,567,567,3,1370
Q1,568,568,28,2190
Q1,569,569,92,582
Q1,570,570,-1,2320
Q1,571,571,-1,563
Q1,572,572,-1,2190
Q1,573,573,-1,2190
Q1,574,574,-1,2190
Q1,575,575,-1,563
Q1,576,576,-1,3447
Q1,577,577,-1,2190
Q1,578,578,-1,1394
Q1,579,579,-1,2190
Q1,580,580,-1,1394
Q1,581,581,-1,3104
Q1,582,582,-1,33
Q1,583,583,-1,2237
Q1,584,584,-1,3083
Q1,585,585,-1,2013
Q1,586,586,-1,2693
Q1,587,587,-1,2693
Q1,588,588,-1,2094
Q1,589,589,-1,1024
Q1,590,590,-1,1024
Q1,591,591,-1,1173
Q1,592,592,-1,2807
Q1,593,593,6,504
Q1,594,594,-1,1403
Q1,595,595,1,595
Q1,596,596,2,595
Q1,597,597,11,595
Q1,598,598,-1,1644
Q1,599,599,-1,1644
Q1,600,600,-1,1644
Q1,601,601,-1,1644
Q1,602,602,-1,1644
Q1,603,603,-1,1644
Q1,604,604,-1,538
Q1,605,605,-1,538
Q1,606,606,1,606
Q1,607,607,8,606
Q1,608,608,4,606
Q1,609,609,5,606
Q1,610,610,1,610
Q1,611,611,4,610
Q1,612,612,2,610
Q1,613,613,5,610
Q1,614,614,-1,538
Q1,615,615,-1,538
Q1,616,616,14,848
Q1,617,617,3,848
Q1,618,618,19,848
Q1,619,619,2,848
Q1,620,620,5,1473
Q1,621,621,26,1473
Q1,622,622,7,1473
Q1,623,623,27,1473
Q1,624,624,-1,2694
Q1,625,625,-1,523
Q1,626,626,-1,523
Q1,627,627,-1,1105
Q1,628,628,-1,1105
Q1,629,629,51,605
Q1,630,630,20,605
Q1,631,631,41,635
Q1,632,632,60,635
Q1,633,633,-1,3616
Q1,634,634,-1,3522
Q1,635,635,-1,3522
Q1,636,636,-1,3522
Q1,637,637,-1,3522
Q1,638,638,-1,3467
Q1,639,639,99,3467
Q1,640,640,80,3467
Q1,641,641,-1,3467
Q1,642,642,-1,3467
Q1,643,643,4,747
Q1,644,644,1,644
Q1,645,645,-1,758
Q1,646,646,-1,1758
Q1,647,647,-1,2651
Q1,648,648,-1,3212
Q1,649,649,-1,1337
Q1,650,650,-1,1337
Q1,651,651,-1,302
Q1,652,652,52,2539
Q1,653,653,1,653
Q1,654,654,-1,2230
Q1,655,655,-1,3306
Q1,656,656,-1,2391
Q1,657,657,-1,1718
Q1,658,658,-1,1718
Q1,659,659,-1,2618
Q1,660,660,-1,2618
Q1,661,661,-1,2618
Q1,662,662,1,662
Q1,663,663,-1,3327
Q1,664,664,1,664
Q1,665,665,-1,852
Q1,666,666,51,852
Q1,667,667,35,879
Q1,668,668,-1,283
Q1,669,669,-1,158
Q1,670,670,-1,158
Q1,671,671,-1,800
Q1,672,672,-1,1568
Q1,673,673,28,276
Q1,674,674,-1,935
Q1,675,675,-1,677
Q1,676,676,-1,3327
Q1,677,677,1,677
Q1,678,678,1,678
Q1,679,679,52,1411
Q1,680,680,5,800
Q1,681,681,-1,800
Q1,682,682,1,682
Q1,683,683,66,1289
Q1,684,684,-1,3446
Q1,685,685,-1,3446
Q1,686,686,51,3531
Q1,687,687,-1,3166
Q1,688,688,17,3166
Q1,689,689,-1,251
Q1,690,690,-1,1394
Q1,691,691,-1,274
Q1,692,692,-1,712
Q1,693,693,-1,444
Q1,694,694,-1,911
Q1,695,695,-1,911
Q1,696,696,79,3650
Q1,697,697,14,3650
Q1,698,698,6,3650
Q1,699,699,7,3650
Q1,700,700,1,700
Q1,701,701,-1,3676
Q1,702,702,-1,3350
Q1,703,703,2,677
Q1,704,704,21,677
Q1,705,705,-1,687
Q1,706,706,-1,2718
Q1,707,707,5,3417
Q1,708,708,-1,3514
Q1,709,709,-1,731
Q1,710,710,-1,731
Q1,711,711,93,752
Q1,712,712,25,673
Q1,713,713,-1,673
Q1,714,714,-1,836
Q1,715,715,-1,800
Q1,716,716,-1,758
Q1,717,717,-1,800
Q1,718,718,-1,758
Q1,719,719,-1,800
Q1,720,720,-1,800
Q1,721,721,-1,1758
Q1,722,722,-1,1758
Q1,723,723,-1,800
Q1,724,724,-1,800
Q1,725,725,-1,800
Q1,726,726,20,758
Q1,727,727,-1,737
Q1,728,728,-1,677
Q1,729,729,-1,1326
Q1,730,730,-1,758
Q1,731,731,2,1223
Q1,732,732,-1,1217
Q1,733,733,-1,1176
Q1,734,734,-1,2293
Q1,735,735,-1,737
Q1,736,736,-1,677
Q1,737,737,91,1467
Q1,738,738,-1,3533
Q1,739,739,-1,677
Q1,740,740,-1,493
Q1,741,741,-1,836
Q1,742,742,-1,677
Q1,743,743,-1,677
Q1,744,744,-1,677
Q1,745,745,-1,677
Q1,746,746,-1,677
Q1,747,747,74,2940
Q1,748,748,-1,758
Q1,749,749,-1,852
Q1,750,750,-1,3548
Q1,751,751,-1,852
Q1,752,752,-1,864
Q1,753,753,-1,2146
Q1,754,754,84,501
Q1,755,755,-1,501
Q1,756,756,-1,758
Q1,757,757,3,758
Q1,758,758,2,1758
Q1,759,759,-1,2259
Q1,760,760,-1,1383
Q1,761,761,-1,1383
Q1,762,762,-1,1576
Q1,763,763,-1,1280
Q1,764,764,-1,1280
Q1,765,765,1,765
Q1,766,766,-1,765
Q1,767,767,-1,765
Q1,768,768,-1,765
Q1,769,769,-1,765
Q1,770,770,5,36
Q1,771,771,5,935
Q1,772,772,-1,698
Q1,773,773,-1,698
Q1,774,774,-1,800
Q1,775,775,14,800
Q1,776,776,76,800
Q1,777,777,1,777
Q1,778,778,28,800
Q1,779,779,-1,3532
Q1,780,780,-1,2685
Q1,781,781,-1,758
Q1,782,782,-1,302
Q1,783,783,-1,3421
Q1,784,784,-1,1406
Q1,785,785,-1,823
Q1,786,786,41,3327
Q1,787,787,1,787
Q1,788,788,-1,864
Q1,789,789,-1,864
Q1,790,790,-1,800
Q1,791,791,-1,749
Q1,792,792,4,793
Q1,793,793,1,793
Q1,794,794,-1,2174
Q1,795,795,-1,804
Q1,796,796,-1,302
Q1,797,797,5,798
Q1,798,798,1,798
Q1,799,799,-1,284
Q1,800,800,29,1664
Q1,801,801,-1,1682
Q1,802,802,-1,1830
Q1,803,803,28,3314
Q1,804,804,3,1682
Q1,805,805,-1,804
Q1,806,806,-1,116
Q1,807,807,-1,1847
Q1,808,808,5,803
Q1,809,809,34,803
Q1,810,810,21,811
Q1,811,811,22,1415
Q1,812,812,38,3520
Q1,813,813,-1,911
Q1,814,814,43,810
Q1,815,815,33,800
Q1,816,816,88,800
Q1,817,817,2,810
Q1,818,818,16,3361
Q1,819,819,38,903
Q1,820,820,-1,1163
Q1,821,821,-1,844
Q1,822,822,1,822
Q1,823,823,-1,822
Q1,824,824,-1,1414
Q1,825,825,-1,1414
Q1,826,826,-1,815
Q1,827,827,41,638
Q1,828,828,60,852
Q1,829,829,85,810
Q1,830,830,3,810
Q1,831,831,-1,3650
Q1,832,832,-1,302
Q1,833,833,-1,495
Q1,834,834,-1,495
Q1,835,835,-1,495
Q1,836,836,14,3038
Q1,837,837,-1,1635
Q1,838,838,97,958
Q1,839,839,2,2168
Q1,840,840,-1,839
Q1,841,841,1,841
Q1,842,842,1,842
Q1,843,843,2,920
Q1,844,844,-1,677
Q1,845,845,-1,852
Q1,846,846,-1,677
Q1,847,847,-1,1826
Q1,848,848,1,848
Q1,849,849,-1,81
Q1,850,850,14,3240
Q1,851,851,4,920
Q1,852,852,27,920
Q1,853,853,-1,3168
Q1,854,854,-1,797
Q1,855,855,-1,758
Q1,856,856,-1,713
Q1,857,857,-1,864
Q1,858,858,-1,3076
Q1,859,859,-1,3076
Q1,860,860,-1,779
Q1,861,861,-1,2892
Q1,862,862,-1,1105
Q1,863,863,1,863
Q1,864,864,7,1379
Q1,865,865,59,1379
Q1,866,866,-1,1342
Q1,867,867,-1,1342
Q1,868,868,7,871
Q1,869,869,10,871
Q1,870,870,-1,684
Q1,871,871,-1,684
Q1,872,872,-1,3240
Q1,873,873,69,877
Q1,874,874,73,2784
Q1,875,875,-1,3650
Q1,876,876,4,3180
Q1,877,877,21,1672
Q1,878,878,-1,1386
Q1,879,879,49,3267
Q1,880,880,59,3267
Q1,881,881,-1,2237
Q1,882,882,-1,2704
Q1,883,883,36,466
Q1,884,884,-1,1468
Q1,885,885,27,1568
Q1,886,886,-1,3320
Q1,887,887,6,1655
Q1,888,888,1,888
Q1,889,889,2,1356
Q1,890,890,-1,3168
Q1,891,891,-1,2399
Q1,892,892,-1,2399
Q1,893,893,-1,1588
Q1,894,894,-1,839
Q1,895,895,-1,1588
Q1,896,896,-1,2207
Q1,897,897,-1,2207
Q1,898,898,-1,839
Q1,899,899,-1,869
Q1,900,900,-1,99
Q1,901,901,-1,852
Q1,902,902,39,1847
Q1,903,903,1,903
Q1,904,904,-1,903
Q1,905,905,39,903
Q1,906,906,-1,903
Q1,907,907,-1,906
Q1,908,908,-1,906
Q1,909,909,-1,906
Q1,910,910,-1,906
Q1,911,911,-1,7
Q1,912,912,57,1724
Q1,913,913,-1,687
Q1,914,914,-1,906
Q1,915,915,69,920
Q1,916,916,-1,677
Q1,917,917,-1,896
Q1,918,918,-1,3075
Q1,919,919,3,920
Q1,920,920,22,1461
Q1,921,921,-1,425
Q1,922,922,23,425
Q1,923,923,17,3233
Q1,924,924,58,3233
Q1,925,925,1,925
Q1,926,926,25,925
Q1,927,927,-1,925
Q1,928,928,2,927
Q1,929,929,-1,3373
Q1,930,930,1,930
Q1,931,931,5,930
Q1,932,932,3,930
Q1,933,933,17,1343
Q1,934,934,92,914
Q1,935,935,1,935
Q1,936,936,-1,2058
Q1,937,937,-1,2471
Q1,938,938,-1,3446
Q1,939,939,-1,2239
Q1,940,940,-1,2239
Q1,941,941,-1,800
Q1,942,942,38,198
Q1,943,943,2,941
Q1,944,944,-1,3056
Q1,945,945,-1,218
Q1,946,946,-1,3438
Q1,947,947,-1,2241
Q1,948,948,-1,2532
Q1,949,949,-1,2480
Q1,950,950,-1,1421
Q1,951,951,67,221
Q1,952,952,-1,2320
Q1,953,953,-1,1972
Q1,954,954,-1,2014
Q1,955,955,93,2940
Q1,956,956,-1,2837
Q1,957,957,-1,2236
Q1,958,958,-1,2236
Q1,959,959,10,1644
Q1,960,960,-1,3083
Q1,961,961,-1,3087
Q1,962,962,-1,1257
Q1,963,963,-1,3087
Q1,964,964,-1,2236
Q1,965,965,-1,1556
Q1,966,966,62,1116
Q1,967,967,-1,1556
Q1,968,968,-1,1257
Q1,969,969,-1,1644
Q1,970,970,17,2190
Q1,971,971,-1,725
Q1,972,972,-1,877
Q1,973,973,16,1848
Q1,974,974,6,1848
Q1,975,975,-1,1324
Q1,976,976,-1,3070
Q1,977,977,-1,2940
Q1,978,978,-1,2940
Q1,979,979,1,979
Q1,980,980,-1,997
Q1,981,981,-1,1317
Q1,982,982,90,997
Q1,983,983,-1,2984
Q1,984,984,-1,3054
Q1,985,985,1,985
Q1,986,986,-1,3720
Q1,987,987,-1,2938
Q1,988,988,-1,1849
Q1,989,989,-1,1849
Q1,990,990,-1,2507
Q1,991,991,-1,1324
Q1,992,992,-1,1280
Q1,993,993,-1,1664
Q1,994,994,-1,2693
Q1,995,995,-1,3038
Q1,996,996,-1,1580
Q1,997,997,-1,2704
Q1,998,998,-1,1701
Q1,999,999,-1,1849
Q1,1000,1000,6,997
Q1,1001,1001,-1,3017
Q1,1002,1002,-1,3306
Q1,1003,1003,51,927
Q1,1004,1004,-1,927
Q1,1005,1005,-1,1704
Q1,1006,1006,-1,3676
Q1,1007,1007,-1,3224
Q1,1008,1008,8,342
Q1,1009,1009,-1,2190
Q1,1010,1010,-1,1062
Q1,1011,1011,41,1261
Q1,1012,1012,-1,1261
Q1,1013,1013,5,1889
Q1,1014,1014,1,1014
Q1,1015,1015,82,409
Q1,1016,1016,-1,409
Q1,1017,1017,-1,2382
Q1,1018,1018,10,1023
Q1,1019,1019,31,1023
Q1,1020,1020,17,3223
Q1,1021,1021,19,1023
Q1,1022,1022,-1,1023
Q1,1023,1023,1,1023
Q1,1024,1024,-1,2679
Q1,1025,1025,36,3223
Q1,1026,1026,2,1027
Q1,1027,1027,1,1027
Q1,1028,1028,-1,2293
Q1,1029,1029,-1,673
Q1,1030,1030,13,1031
Q1,1031,1031,1,1031
Q1,1032,1032,-1,1031
Q1,1033,1033,-1,1031
Q1,1034,1034,33,1031
Q1,1035,1035,-1,1031
Q1,1036,1036,-1,1542
Q1,1037,1037,-1,1542
Q1,1038,1038,-1,1542
Q1,1039,1039,-1,2320
Q1,1040,1040,-1,2190
Q1,1041,1041,-1,712
Q1,1042,1042,91,2190
Q1,1043,1043,-1,2013
Q1,1044,1044,-1,752
Q1,1045,1045,-1,752
Q1,1046,1046,-1,3233
