query_set,query_id,best_available_method,best_available_rank,bm25_rank,bge_rank,m7_rank,clip_rank,colpali_rank,ocr_rank,e0_rank_if_available,e1_rank_if_available,likely_failure_category,evidence_from_ranks,evidence_from_query_text,manual_review_needed,final_thesis_explanation
Q3,q3_1657,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1662,BM25,13,13,39,16,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': 13, 'BGE': 39, 'M7': 16, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1680,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1695,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This procedure applies to the following scenarios:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1834,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1835,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2388,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2400,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2443,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Solution is related to Key Issue #3,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2461,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Figure 4.3.2-1: Non-Roaming Architecture,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2709,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2831,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This solution addresses Key Issue#1 and architecture is described in clause A.2.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2945,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2966,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",The solution is described in the high-level procedure illustrated in figure 7.2.1.2-1.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2967,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This solution addresses the key issue #1.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2970,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This solution addresses the key issue #6.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_2973,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_3176,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This clause defines interactions between the CP and UP function during the following procedures:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_3177,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This clause defines interactions between the CP and UP function during the following procedures:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_3179,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This clause defines interactions between the CP and UP function during the following procedures:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_3189,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This clause defines interactions between the CP and UP function during the following procedures:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_3315,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_3476,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}","In following figures following abbreviations are used to indicate operating band frequency properties L = low band (< 1 GHz), H = high band (14 GHz) and VH = very high band (410 GHz).",No,A representative case demonstrating performance gaps across modalities.
