Context,Source,Subclause,Image Path,Image Caption
"The mobility procedure described in Figure 5.11.2.1-1 requires the HNB-GW to route the incoming Enhanced Relocation signalling from the Source HNB to the appropriate Target RNC indicated by an RNC-ID provided within the RNA:CONNECT message.
Figure 5.11.2.1-1: Enhanced Relocation from Open Access and Hybrid HNBs to RNC.
0-9.	The RNSAP signalling for preparing and executing the relocation between the HNB and the RNC follows the standardised Enhanced SRNS Relocation procedure as defined between two RNCs (see TS 23.060 [10]).
10-13. After the UE has completed RRC signalling for the relocation, the RANAP: ENHANCED RELOCATION COMPLETE REQUEST message is sent from the Target RNC to the MSC/SGSN. The MSC/SGSN replies with a RANAP: ENHANCED RELCOATION COMPLETE RESPONSE message. In case of CS domain, the target RNC sends RANAP Enhanced Relocation Complete Confirm message to the MSC after completion of UP initialization.
14-17. Subsequently the CN initiates Iu Release procedure to release the source-side Iu(h) resources.",TS 25.467,5.11.2.1,/data/all_images/image_10.jpeg,Enhanced Relocation from Open Access and Hybrid HNBs to RNC.
"The mobility procedure described in Figure 5.11.2.2-1 requires the following:
-	The Source RNC is able to determine the target HNB and its Cell Access Mode based on UE measurements.
NOTE:	It is assumed that the source RNC has a priori knowledge whether the target cell is an open mode cell or not, e.g., via the PSC range configured for open cells in this part of the network
-	The HNB-GW is able to route the incoming Enhanced Relocation signalling from the Source RNC to the appropriate target HNB using the target cell identity provided in RNSAP: ENHANCED RELOCATION REQUEST.
Figure 5.11.2.2-1: Enhanced Relocation from RNC to Open Access HNB for CSG UEs.
0-9. The RNSAP signalling for preparing and executing the relocation between the RNC and the HNB follows the standardised Enhanced SRNS Relocation procedure as defined between two RNCs (see TS 23.060 [10]).
10-12.	After the UE has completed RRC signalling for the relocation, the RANAP: ENHANCED RELOCATION COMPLETE REQUEST message is sent from target HNB to HNB GW (via Iuh) and forwarded from HNB GW to MSC/SGSN (via Iu).
13-14.	After the reception of RANAP: ENHANCED RELOCATION COMPLETE REQUEST the MSC/SGSN replies with RANAP: ENHANCED RELOCATION COMPLETE RESPONSE. The HNB-GW forwards this message to the target HNB (via Iuh).
15-16. In case of CS domain, the target HNB sends RANAP Enhanced Relocation Complete Confirm message to the MSC after completion of UP initialization.
17-18.	The MSC/SGSN mandates the RNC to release the former Iu resources.",TS 25.467,5.11.2.2,/data/all_images/image_11.jpeg,Enhanced Relocation from RNC to Open Access HNB for CSG UEs.
"The mobility procedure described in Figure 5.11.2.3-1 requires the following:
-	The UE is CSG capable from Rel-9 onwards and SIB-reading capable.
-	The Source RNC is able to determine the Cell Access Mode of the target HNB.
NOTE:	It is assumed that the source RNC is able to initiate and interpret respective UE measurements and may in addition have an a priori knowledge whether the target cell is a hybrid cell, e.g., via the PSC range configured for hybrid cells in this part of the network.
-	The HNB-GW is able to route the incoming Enhanced Relocation signalling from the Source RNC to the appropriate target HNB using the target cell identity provided in RNSAP: ENHANCED RELOCATION REQUEST.
Figure 5.11.2.3-1: Enhanced Relocation from RNC to Hybrid HNB for CSG UEs.
0-9. RNSAP Signalling for preparing and executing the relocation between the RNC and the HNB follows the currently standardised Enhanced SRNS Relocation procedure as defined between two RNCs (See TS 23.060 [10]).
10-11.	Upon successful relocation preparation and RRC signalling completion, the UE is temporarily admitted in the target hybrid cell according to the access status declared by the UE and provided by the Source RNC to the Target HNB within the CSG Membership Status IE included in the RNSAP: ENHANCED RELOCATION REQUEST message. The UE may be admitted as its reported CSG membership status until the outcomes of membership verification are received from CN.
12-13.	The RANAP: ENHANCED RELOCATION COMPLETE REQUEST message is sent from target HNB to HNB GW (via Iuh) and forwarded from HNB GW to MSC/SGSN (via Iu). The RANAP: ENHANCED RELOCATION COMPLETE REQUEST includes CSG ID IE and Cell Access Mode IE of the target cell.
14-16.	After reception of RANAP: ENHANCED RELOCATION COMPLETE REQUEST the MSC/SGSN performs membership verification of the relocated UE according to CSG ID IE and Cell Access Mode IE received. The MSC/SGSN replies to the HNB GW with RANAP: ENHANCED RELOCATION COMPLETE RESPONSE containing the CSG Membership Status IE. The RANAP: ENHANCED RELOCATION COMPLETE RESPONSE message is forwarded from HNB GW to target HNB (via Iuh). The target HNB may apply the appropriate level of prioritisation to the UE according to the CSG Membership Status IE received.
17-18.	In case of CS domain, the target HNB sends RANAP Enhanced Relocation Complete Confirm message to the MSC after completion of UP initialization.
19-20. The MSC/SGSN requests the RNC to release the source-side Iu resources.",TS 25.467,5.11.2.3,/data/all_images/image_12.png,Enhanced Relocation from RNC to Hybrid HNB for CSG UEs.
"Mobility from HNB cells (hybrid or open access) to macro RNC using Soft Handover (SHO) follows the same principles as mobility between macro cells and uses an Iur interface established between HNB and macro RNC via the HNB-GW to support RNSAP signalling.
The HNB-GW acts as a single RNC towards the macro RNC (as it does towards the CN) and therefore acts as a concentrator for HNB-RNC connectivity via the HNB-GW.
For this case there is no involvement of the CN in the SHO operations, as there is no access control/membership verification needed for SHO to a macro RNC.
The HNB acts as a SRNC and requests resources from the macro RNC, however this may happen only in case of HNBs deployed in a secure and operator controlled way (coordinated deployment) and, in this case, it is managed by the CAC of the DRNC.
Figure 5.11.3.1-1 shows the sequence of messages involved.
Figure 5.11.3.1-1: Soft Handover HNB to RNC via HNB-GW.
1.	HNB determines that a RL can be established to a macro RNC cell.
2-7. Normal RL setup procedure between HNB and RNC via the HNB-GW.",TS 25.467,5.11.3.1,/data/all_images/image_13.jpeg,Soft Handover HNB to RNC via HNB-GW.
"Mobility from macro cells to Open or Hybrid Access HNB cells using Soft Handover follows the same principles as mobility between macro cells and uses an Iur interface established between the HNB and the macro RNC via the HNB-GW to support RNSAP signalling.
The HNB-GW acts as a single RNC towards the macro RNC (as it does towards the CN) and therefore acts as a concentrator for HNB-RNC connectivity via the HNB-GW.
For this case of open or hybrid access HNB, there is no involvement of the CN in the SHO operations. For the case of SHO to hybrid access HNB, if supported, the Radio Link is established assuming the UE is non-member.
The macro RNC acting as SRNC requests resources from the HNB, it is managed by the CAC of the HNB.
Figure 5.11.3.2-1 shows the sequence of messages involved.
Figure 5.11.3.2-1: Soft Handover from RNC to Open or Hybrid Access HNB via HNB-GW.
1.	RNC determines that a RL can be established to a HNB cell.
2-7. Normal RL setup procedure between RNC and HNB via the HNB-GW. For Hybrid cells, if supported, the Radio Link is established assuming the UE is a non-member.",TS 25.467,5.11.3.2,/data/all_images/image_14.jpeg,Soft Handover from RNC to Open or Hybrid Access HNB via HNB-GW.
"Mobility from macro cells to Open or Hybrid Access HNB cells using Soft Handover follows the same principles as mobility between macro cells and uses an Iur interface established between the HNB and the macro RNC via the HNB-GW to support RNSAP signalling.
The HNB-GW acts as a single RNC towards the macro RNC (as it does towards the CN) and therefore acts as a concentrator for HNB-RNC connectivity via the HNB-GW.
For this case of open or hybrid access HNB, there is no involvement of the CN in the SHO operations. For the case of SHO to hybrid access HNB, if supported, the Radio Link is established assuming the UE is non-member.
The macro RNC acting as SRNC requests resources from the HNB, it is managed by the CAC of the HNB.
Figure 5.11.3.2-1 shows the sequence of messages involved.
Figure 5.11.3.2-1: Soft Handover from RNC to Open or Hybrid Access HNB via HNB-GW.
1.	RNC determines that a RL can be established to a HNB cell.
2-7. Normal RL setup procedure between RNC and HNB via the HNB-GW. For Hybrid cells, if supported, the Radio Link is established assuming the UE is a non-member.",TS 25.467,5.11.3.2,/data/all_images/image_15.jpeg,Soft Handover from RNC to Open or Hybrid Access HNB via HNB-GW.
"The CELL_FACH, CELL_PCH and URA_PCH mobility message flow is described in Figure 5.11.5-1 below.
Figure 5.11.5-1: RNC to HNB CELL_FACH/CELL_PCH and URA_PCH mobility
1.	At initial RRC Connection Setup, the source HNB assigns to the UE a U-RNTI based on its RNC-ID and a set of locally defined bits.
2.	Subsequently, the UE performs Cell or URA Reselection to a HNB supporting CELL_FACH/CELL_PCH/URA_PCH.
3.	Based on the received U-RNTI, the target HNB detects the UE is reselecting from a neighbour RNC.
If, based on the received U-RNTI, the Target HNB cannot detect from which node the UE is coming from,
3a.	it may establish an Iurh interface with the source RNC;
3b.alternatively, it may terminate the mobility procedure, re-establish the RRC connection for the UE and skip the subsequent steps.
4.	The HNB forwards the received message Cell/URA update via Uplink Signalling Transfer Indication RNSAP message to the selected HNB-GW.
5.	The HNB-GW finds the proper source RNC based on the RNC-ID.
6.	The HNB-GW forwards the RNSAP Uplink Signalling Transfer Indication message to the source RNC.
7.	The source RNC may now execute the SRNS Relocation/Enhanced SRNS Relocation towards the target HNB to  transfer the UE context or initialise the UE context in the target HNB via RNSAP Common Transport Channel Resources Initialisation procedure.
8.	The HNB sends to the UE an RRC: Cell Update Confirm message (in case of CELL_FACH or CELL_PCH) or an RRC: URA Update Confirm message (in case of URA_PCH) to terminate the mobility procedure. If the SRNS relocation procedure is not used, the RRC: Cell Update Confirm (in case of CELL_FACH or CELL_PCH) or the RRC: URA Update Confirm message (in case of URA_PCH) is sent by the serving HNB.",TS 25.467,5.11.5,/data/all_images/image_16.jpeg,RNC to HNB CELL_FACH/CELL_PCH and URA_PCH mobility
"Figure 7.2-1 shows the protocol structure for Iuh, following the structure described in TS 25.401 [4].
Figure 7.2-1: Iuh–Interface Protocol Stack.",TS 25.467,7.2,/data/all_images/image_17.png,Iuh–Interface Protocol Stack.
"Figure 7.2.2.2-1: Establishment of signalling connection over Iupc and Iuh connections between HNB and SAS via HNB-GW – HNB Initiated.
1.	If the Source HNB is configured for Iupc-connectivity via the HNB-GW, and wants to send a PCAP message to the SAS for which a signalling connection over the Iuh and Iupc connections has to be established, it issues a PUA:CONNECT message containing the PUA Context Id and the PCAP PDU1.
2.	The HNB-GW identifies the signalling interface to which the PCAP message shall be routed to and maintains a mapping between the PUA-based signalling connection and the SCCP-based signalling connection for the HNB-SAS end-to-end. If the SAS indicator is included in the PUA: Connect message the HNB-GW may use this to route the PCAP message to the selected SAS.
3.	The HNB-GW sends PCAP PDU1 to the SAS and the SAS sends back PCAP PDU2 (see TS 25.450 [37]).
4.	The HNB-GW routes the PCAP PDU2 towards the Source HNB.
5.	The HNB-GW sends a PUA:Direct Transfer message, including PCAP PDU2 if any, received from the SAS to the source HNB.",TS 25.467,7.2.2.2,/data/all_images/image_18.png,Establishment of signalling connection over Iupc and Iuh connections between HNB
"Figure 7.2.2.3-1: Establishment of signalling connection over Iuh and Iupc connections between HNB and SAS via HNB-GW – HNB Initiated with refusal from SAS.
1.	If the Source HNB is configured for Iupc-connectivity via the HNB-GW, and wants to send a PCAP message to the SAS for which a signalling connection over the Iuh and Iupc connections has to be established, it issues a PUA:CONNECT message containing the PUA Context Id and the PCAP PDU1.
2.	The HNB-GW identifies the signalling interface to which the PCAP message shall be routed to and maintains a mapping between the PUA-based signalling connection and the SCCP-based signalling connection for the HNB-SAS end-to-end. If the SAS indicator is included in the PUA: Connect message the HNB-GW may use this to route the PCAP message to the selected SAS.
3.	The HNB-GW sends PCAP PDU1 to the SAS as received from the HNB via SCCP Connection Request  and the SAS refuses the connection request (see TS 25.450 [37]).
4.	The HNB-GW maps the SCCP:CREF message into a PUA:DISCONNECT.
5.	The HNB-GW sends a PUA:DISCONNECT message to the source HNB, including the optional PCAP PDU2 if received from the SAS.",TS 25.467,7.2.2.3,/data/all_images/image_19.png,Establishment of signalling connection over Iuh and Iupc connections between HNB
