query_set,query_id,query_text,ground_truth_row,ground_truth_caption,best_available_method,best_available_rank,bm25_rank,bge_rank,m7_rank,clip_rank,ocr_rank,colpali_rank,likely_failure_category,evidence_from_ranks,evidence_from_query_text,manual_review_needed,final_thesis_explanation
Q3,q3_895,This scenario is shown in Figure 8.4.5.1-1.,895,"NBMP Client in FLUS Control Source, NBMP Workflow Manager, and MPE in Sink",BM25,14,14,>100,16,>100,13,>100,unclassified failure,,,yes,
Q3,q3_936,The NF Service Consumer (e.g.,936,Activation of the User Plane connection of a PDU session,BM25,76,76,>100,96,>100,57,>100,acronym ambiguity,,,yes,
Q3,q3_937,The NF Service Consumer (e.g.,937,N2 Handover Preparation,BM25,44,44,100,65,>100,39,>100,acronym ambiguity,,,yes,
Q3,q3_942,5.2.2.2.3.1 General,942,EAP-based authentication with EAP-AKA' method,BM25,16,16,>100,26,>100,12,>100,unclassified failure,,,yes,
Q3,q3_946,The NF Service Consumer (e.g.,946,Modify UE Context in SMSF using HTTP PATCH Method,BM25,15,15,>100,41,>100,7,>100,acronym ambiguity,,,yes,
Q3,q3_984,This procedure depicted in Figure 5.5.3.2-1 is used by a data consumer (e.g.,984,Data Collection via DCCF and via Messaging Framework,M7,19,32,26,19,>100,49,>100,unclassified failure,,,yes,
Q3,q3_993,This procedure is used by the NWDAF service consumer (may be an NF e.g.,993,Procedure for User Data Congestion Analytics,M7,12,27,13,12,>100,27,>100,acronym ambiguity,,,yes,
Q3,q3_997,This procedure is used by the NWDAF service consumer e.g.,997,Procedure for Session Management Congestion Control Experience Analytics,BM25,14,14,26,15,1,16,>100,acronym ambiguity,,,yes,
Q3,q3_998,This procedure is used by the NWDAF service consumer (may be an NF e.g.,998,Procedure for Redundant Transmission Experience Analytics,M7,31,40,32,31,>100,42,>100,acronym ambiguity,,,yes,
Q3,q3_1051,"This procedure concerns only non-roaming scenarios, i.e.",1051,Processing NEF-mediated AF requests for Access and Mobility related policy,BGE,11,>100,11,30,>100,>100,>100,unclassified failure,,,yes,
Q3,q3_1052,"This procedure concerns only non-roaming scenarios, i.e.",1052,Processing direct AF requests for Access and Mobility related policy authorization,BGE,18,>100,18,38,>100,>100,>100,unclassified failure,,,yes,
Q3,q3_1068,In this scenario:,1068,http via HTTP/3 Proxy to NF Service Producer Supporting QUIC,None,NA,>100,>100,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_1069,In this scenario:,1069,https via HTTP/3 Proxy to NF Service Producer Supporting TCP,BM25,65,65,>100,77,>100,56,>100,generic caption/query,,,yes,
Q3,q3_1236,This clause depicts the set of classes (e.g.,1236,NRM for all deployment scenarios,BGE,21,33,21,28,>100,27,>100,unclassified failure,,,yes,
Q3,q3_1237,This clause depicts the set of classes (e.g.,1237,NRM for <<IOC>>NRSectorCarrier and <<IOC>>BWP for all deployment scenarios,BGE,26,36,26,31,>100,34,85,unclassified failure,,,yes,
Q3,q3_1238,This clause depicts the set of classes (e.g.,1238,NRM fragment to support RIM,BGE,16,34,16,24,>100,28,>100,unclassified failure,,,yes,
Q3,q3_1239,This clause depicts the set of classes (e.g.,1239,NRM fragment for CES Management,BGE,31,35,31,32,>100,29,>100,unclassified failure,,,yes,
Q3,q3_1429,The UE test loop function provides access to isolated functions of the UE via the radio interface without introducing wherever possible new physical interfaces just for the reason of conformance testing.,1429,Model for UE test loop mode H on UE side configured to return the SMS user data,BM25,11,11,12,13,32,12,>100,acronym ambiguity,,,yes,
Q3,q3_1510,NOTE: Service specific information is not shown in the messages.,1510,"IMS session setup, resource reservation on both sides ",None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q3,q3_1511,NOTE: Service specific information is not shown in the messages.,1511,"IMS session setup, resource reservation on both sides ",None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q3,q3_1657,Pre-conditions:,1657,UAE-assisted coordinated QoS provisioning for C2 communication ,None,NA,>100,>100,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_1662,Pre-conditions:,1662,UAE assisted network-assisted to direct C2 mode switching,BM25,13,13,39,16,>100,13,>100,unclassified failure,,,yes,
Q3,q3_1680,Pre-conditions:,1680,TSN Bridge information reporting procedure,BM25,78,78,>100,>100,>100,77,>100,generic caption/query,,,yes,
Q3,q3_1695,This procedure applies to the following scenarios:,1695,MBS Session Release or Multicast session leave requested by the network,BM25,26,26,>100,46,>100,74,>100,unclassified failure,,,yes,
Q3,q3_1834,Pre-conditions:,1834,Provisioning of Edge Data Network configuration ,BM25,85,85,>100,>100,>100,90,>100,generic caption/query,,,yes,
Q3,q3_1835,Pre-conditions:,1835,Procedure Initial Provisioning and Connecting to Edge Enabler Server ,BGE,46,>100,46,77,>100,>100,>100,unclassified failure,,,yes,
Q3,q3_2388,Pre-conditions:,2388,Notification for monitoring and control of QoS for eV2X communications,BM25,16,16,>100,32,>100,24,>100,unclassified failure,,,yes,
Q3,q3_2400,Pre-conditions:,2400,Encrypted group call with transcoding,BGE,83,>100,83,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_2443,Solution is related to Key Issue #3,2443,AF influencing URSP rules for network slice selection,BM25,32,32,>100,40,>100,35,>100,unclassified failure,,,yes,
Q3,q3_2461,Figure 4.3.2-1: Non-Roaming Architecture,2461,Non-Roaming Architecture,BGE,13,48,13,30,>100,78,>100,unclassified failure,,,yes,
Q3,q3_2709,Pre-conditions:,2709,Procedure for establishing VAL group communication between the group,None,NA,>100,>100,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_2831,This solution addresses Key Issue#1 and architecture is described in clause A.2.,2831,Multicast and unicast user and control plane model,BM25,14,14,>100,20,>100,13,>100,unclassified failure,,,yes,
Q3,q3_2945,Pre-conditions:,2945,Resource request including priority sharing information,BGE,92,>100,92,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_2966,The solution is described in the high-level procedure illustrated in figure 7.2.1.2-1.,2966,Monitoring and control of QoS for eV2X communications,BM25,12,12,>100,14,>100,13,>100,unclassified failure,,,yes,
Q3,q3_2967,This solution addresses the key issue #1.,2967,NR-PC5 QoS monitoring and control,BM25,22,22,>100,25,>100,24,>100,unclassified failure,,,yes,
Q3,q3_2970,This solution addresses the key issue #6.,2970,NR-PC5 Provisioning in multi-operator V2X scenarios,BM25,41,41,>100,46,>100,41,>100,unclassified failure,,,yes,
Q3,q3_2973,Pre-conditions:,2973,V2X application to slice mapping by VAE layer,None,NA,>100,>100,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_3176,This clause defines interactions between the CP and UP function during the following procedures:,3176,Interaction between CP and UP function during procedures with SGW change,BM25,11,11,11,11,>100,11,>100,acronym ambiguity,,,yes,
Q3,q3_3177,This clause defines interactions between the CP and UP function during the following procedures:,3177,Interaction between CP and UP function during procedures with SGW change,BM25,15,15,18,15,>100,17,>100,acronym ambiguity,,,yes,
Q3,q3_3179,This clause defines interactions between the CP and UP function during the following procedures:,3179,Interaction between CP and UP function during modification of bearer,BGE,12,18,12,17,>100,19,>100,acronym ambiguity,,,yes,
Q3,q3_3189,This clause defines interactions between the CP and UP function during the following procedures:,3189,Interaction between CP and UP function with handover from non-3GPP access,BM25,17,17,26,21,>100,15,>100,acronym ambiguity,,,yes,
Q3,q3_3315,Pre-conditions:,3315,Encrypted group call with transcoding,BGE,82,>100,82,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_3476,"In following figures following abbreviations are used to indicate operating band frequency properties L = low band (< 1 GHz), H = high band (14 GHz) and VH = very high band (410 GHz).",3476,TIB and RIB for H bands with a harmonic falling onto DL of any band in the,BGE,12,18,12,12,74,19,>100,acronym ambiguity,,,yes,
